name,ra,dec,redshift
SN 1965D,270.39633,26.50149,
SN 2002ga,223.71291,-54.43237,
SN 2012fa,223.81166,-53.89579,0.4
SN 1978C,224.2201,-52.32358,
SN 2000ex,224.21943,-52.32086,
SN 1999gu,223.69301,-54.32812,0.147
SN 2012fq,223.65857,-54.42662,0.67
SN 2001ip,223.57186,-54.71662,0.54
SN 2002kb,223.64119,-54.38964,
SN 2002fv,223.59514,-54.47207,
SN 2002hs,223.56605,-54.47188,
SN 2002lg,223.56575,-54.40786,
SN 1990K,22.0156,-86.12576,
SN 2002fw,223.53334,-54.39845,1.3
SN 2000fc,235.68948,-88.29177,0.42
SN 1984S,270.49402,26.71234,
SN 2002hp,223.50769,-54.44366,1.305
SN 2004R,223.52136,-54.3833,
SN 2002ke,223.44654,-54.53532,
SN 2002fx,223.44173,-54.50495,1.4
SN 2003al,223.43793,-54.50987,
SN 1997cl,319.56221,33.09213,
SN 2002kd,223.45298,-54.44797,0.735
SN 2002hq,223.44142,-54.41793,
SN 2006do,26.40235,-72.393,
SN 2001gh,238.21878,-88.62368,0.16
SN 2002fy,223.37748,-54.45703,
SN 2002hr,223.38014,-54.44066,0.526
SN 2002ht,223.35661,-54.48802,
SN 1999ey,233.76047,-88.43239,
SN 2002kc,223.33809,-54.39155,0.216
SN 2009lp,269.83745,26.47367,
SN 2010lm,263.29154,22.05791,
SN 1977I,221.67679,-86.2656,
SN 2001fz,237.28969,-13.53885,
SN 2012fn,223.40555,-53.74929,0.284
SN 2011Y,246.56258,3.65379,
SN 2006mq,245.74075,2.39927,
SN 2005dw,22.90348,-55.08275,
SN 2002hf,228.27026,-88.53819,
SN 2012ez,223.21171,-53.77549,0.348
SN 2010jq,269.54974,26.51501,
SN 2007rv,217.78668,-77.01942,
SN 2002hc,246.97529,4.47998,
SN 2012hn,236.93132,-13.90132,
SN 2012gu,224.18173,-49.96111,0.45
SN 1986B,311.15156,34.95557,
SN 2012fx,220.78863,-62.46255,
SN 1999cz,310.62692,35.04624,
SN 2008fd,22.25479,-51.69,
SN 2012gv,222.75212,-54.55359,0.57
SN 2012gs,222.84806,-54.10866,0.525
SN 1997by,312.68987,34.86562,
SN 2012fo,222.54266,-54.52876,0.238
SN 1998ez,224.13599,-48.85444,
SN 2012fp,222.51622,-54.28307,0.644
SN 2007cv,269.54384,26.98671,
SN 2007ea,345.65803,20.33586,
SN 2010bv,24.01497,-55.09347,
SN 1996X,310.23163,35.64879,
SN 2005cn,310.23432,35.68553,
SN 1998bt,312.32709,35.46381,
SN 2008V,225.60918,-41.78909,
SN 2005lr,239.02721,-7.7525,
SN 2009ag,239.01167,-7.73741,
SN 1992J,263.53996,23.54538,
SN 2000fv,333.59666,29.01191,
SN 2008gr,55.50087,-88.57143,
SN 2008cf,323.34854,33.28479,
SN 2012bk,320.13212,34.23161,
SN 2005mu,22.18743,-46.63689,
SN 1984G,267.41986,26.45725,
SN 1998ao,263.03679,23.48618,
SN 1996N,221.53482,-52.77162,
SN 2004Q,301.87797,36.65756,
SN 1985E,322.33319,33.98527,
SN 1991U,311.82351,36.21185,
SN 2003hv,218.57541,-60.40202,
SN 2003if,219.70617,-56.92093,
SN 2000cu,12.50886,-18.31673,
SN 2011kj,227.7078,-32.52874,
SN 2013eg,270.00814,28.70414,
SN 1998ce,263.27626,24.40006,
SN 2009jy,265.04462,25.66663,
SN 1980O,218.60365,-58.25896,
SN 2006T,260.20263,22.13299,
SN 2004de,260.18344,22.13738,
SN 2014cp,214.1984,-68.90825,
SN 2006lu,253.55121,15.92239,
SN 2014I,229.82158,-25.7921,
SN 2001df,23.80433,-47.17566,
SN 2003gj,21.37927,-40.1748,
SN 2002et,16.78702,-27.46508,
SN 2002jp,268.39929,28.38157,
SN 2012H,227.77496,-30.44484,
SN 1940E,97.35648,-87.96391,
SN 1997cr,21.59629,-39.77497,
SN 2009hk,19.59405,-33.83698,
SN 2005hh,222.19564,-44.98414,
SN 2005ke,218.97622,-53.3383,
SN 1994X,46.29973,-81.5917,
SN 2009mw,258.28175,21.64358,
SN 2008H,258.26639,21.65031,
SN 2014eh,18.83413,-30.81738,
SN 2004bv,18.84354,-30.82461,
SN 1984V,18.85172,-30.82495,
SN 2008fq,18.85136,-30.82183,
SN 2004be,260.61658,23.68365,
SN 2008ho,211.89162,-68.8578,
SN 2002gw,211.88058,-68.86097,
SN 2013cg,254.77526,18.42198,
SN 2010ir,235.79774,-9.7684,
SN 2007cg,312.72495,37.5698,
SN 2005an,296.3059,37.94189,
SN 2003ib,19.74708,-32.58386,
SN 1997eh,229.29085,-23.99511,
SN 2008fu,215.18665,-60.46576,
SN 2005gn,229.16126,-24.01421,
SN 2003gi,76.03303,-85.97664,
SN 2005di,29.65564,-57.11726,
SN 2003E,223.13047,-39.02927,
SN 2000dc,19.23311,-29.67095,
SN 2010lq,246.15384,9.30451,
SN 1984T,228.90091,-23.61389,
SN 2002av,230.46508,-19.76703,
SN 2004af,227.82503,-26.18361,
SN 2007go,187.11174,-83.07041,
SN 1992ag,312.48946,38.38598,
SN 2006cn,311.81723,38.49574,
SN 2006is,225.86319,-30.54305,
SN 2000fp,227.60395,-26.123,0.3
SN 1998A,274.82592,33.53892,
SN 1994R,274.83555,33.54559,
SN 2001gj,227.54376,-26.07662,0.27
SN 1995ad,229.5272,-21.14205,
SN 1981H,19.59053,-29.14029,
SN 2013hv,270.32733,31.4797,
SN 2011co,252.16797,17.4116,
SN 2006et,93.69351,-85.92785,
SN 2004gh,264.49302,28.14147,
SN 2007hf,210.31131,-65.81845,
SN 2006in,33.0827,-61.09423,
SN 2008K,281.9286,36.43908,
SN 2003em,205.33052,-72.02206,
SN 2009le,205.31287,-72.03279,
SN 2007cb,322.22772,36.98184,
SN 2012fd,228.99223,-21.49772,
SN 2004ds,203.83625,-73.18134,
SN 2007ha,105.18415,-85.92136,0.17
SN 2004ep,228.74752,-21.64831,
SN 2005kg,24.65765,-40.49256,
SN 1998bn,296.34481,39.42496,
SN 2007fq,21.57554,-32.42208,
SN 2000dd,21.58815,-32.4359,
SN 2006im,29.89326,-52.93588,
SN 2007Y,212.14572,-60.07023,
SN 1982R,212.06218,-60.04489,
SN 1993K,230.87205,-15.83178,
SN 2002dh,343.24931,27.85053,
SN 2002dt,350.61289,21.84198,
SN 2013cy,30.85378,-53.40041,
SN 1937B,30.86509,-53.39771,
SN 2004dr,209.59106,-63.49218,
SN 2006dc,352.79021,19.868,
SN 2014dp,243.20849,7.67133,
SN 2012ev,30.31771,-51.68919,
SN 1993D,279.04934,36.5333,
SN 2004av,282.27658,37.54726,
SN 2001fx,45.12421,-73.03157,
SN 2004db,35.81461,-61.62006,
SN 2009aa,277.55481,36.24047,
SN 2010lx,221.21277,-37.2279,0.1
SN 2004al,254.47002,21.91025,
SN 2003am,311.84422,40.31617,
SN 1997br,311.84059,40.32816,
SN 1986O,230.20862,-15.21083,
SN 2000bh,293.74018,40.33358,
SN 2007fc,52.74254,-76.73031,
SN 2003hd,194.61986,-75.75529,
SN 2008em,36.1989,-60.76815,
SN 2006ri,202.33293,-70.10718,
SN 2011I,256.60472,24.30838,
SN 2003ap,256.6825,24.39001,
SN 2001af,256.57495,24.35723,
SN 2001M,263.27155,29.53948,
SN 2004cf,331.96696,46.59612,0.247
SN 1978A,314.77126,40.2295,
SN 2010lz,194.22983,-75.56208,
SN 2003gf,32.69487,-53.83585,
SN 2008cv,25.84011,-38.57799,
SN 2010jh,35.35686,-58.62846,
SN 2003ev,308.81214,40.98989,
SN 2007ai,353.03766,21.07964,
SN 2007cc,325.84263,37.8136,
SN 2006dx,26.55065,-39.78009,
SN 2004ff,221.73909,-33.94031,
SN 1975S,212.30444,-54.84333,
SN 2007fs,31.7248,-51.09891,
SN 2005cw,33.43338,-54.42816,
SN 2009du,317.67261,40.02891,
SN 2010jp,228.73452,-16.99201,
SN 2007at,336.79631,33.48752,
SN 2013ai,228.682,-17.02239,
SN 2003H,228.69124,-16.99523,
SN 1975A,228.68463,-17.00806,
SN 1999ec,228.67245,-17.02765,
SN 1982E,212.18311,-54.36746,
SN 1999gh,255.0478,23.73606,
SN 2006ce,202.12237,-68.36125,
SN 1994ai,202.14253,-68.31622,
SN 2001bc,255.30665,24.08888,0.195
SN 2003bn,258.38632,26.73672,
SN 2007fv,40.78522,-64.79364,
SN 1996Z,253.60838,22.55839,
SN 2007ho,28.268,-42.36458,
SN 1962H,313.19315,41.07413,
SN 2006hb,221.54099,-33.08138,
SN 1975F,253.59373,22.57225,
SN 2015H,269.58485,34.13378,
SN 2002J,269.5661,34.13081,
SN 2002hy,269.56719,34.13542,
SN 2002fi,203.89195,-65.88294,
SN 2013gj,205.1896,-64.27935,
SN 2006qq,223.00501,-29.11399,
SN 2011Z,315.11264,40.98698,
SN 1954I,274.44693,36.55839,
SN 2005as,267.86575,33.4897,
SN 2004ag,255.93733,25.13933,0.362
SN 1984N,32.92319,-51.1248,
SN 2008go,33.86934,-52.90214,
SN 2003gr,49.78435,-72.13086,
SN 2006ec,49.78936,-72.12927,
SN 2006ot,199.00902,-69.88979,
SN 2005cq,256.02778,25.3852,0.31
SN 2006rx,51.7359,-73.13897,
SN 2002ds,342.35984,31.10026,
SN 2004bq,25.1302,-33.61519,
SN 2011ic,260.51988,29.18472,
SN 2001be,256.06447,25.63578,0.241
SN 2010bl,299.4989,42.23804,
SN 2013ao,282.49753,39.68264,
SN 1937E,214.12397,-47.80321,
SN 2000fu,337.41442,34.2946,
SN 1990aj,218.85782,-37.20939,
SN 1992D,226.24313,-19.92937,
SN 1999gc,148.36836,-82.48024,
SN 2008W,243.52288,12.16843,
SN 2011ds,21.71084,-24.32407,
SN 1999cr,312.09393,42.21027,
SN 2008bu,359.70301,15.86948,
SN 1999cs,288.15203,41.41792,
SN 2007sq,244.85565,14.40141,
SN 1999cx,289.15962,41.696,
SN 1998dp,33.66747,-49.91284,
SN 2009hf,98.02231,-82.12706,
SN 2010ey,211.75405,-50.53204,
SN 2002cj,344.61541,30.62439,
SN 2004bo,313.99438,42.35012,
SN 2009fw,25.06721,-30.72227,
SN 2010ly,206.46698,-58.55193,
SN 2002dj,309.89452,43.0609,
SN 2008as,261.03953,30.94568,
SN 2007al,256.45079,27.47245,
SN 2009jc,142.19142,-81.9089,
SN 2004K,331.02146,38.3425,
SN 2007aw,255.99236,27.24921,
SN 1996W,286.35852,41.93757,
SN 1954G,297.71407,43.4592,
SN 2003bw,339.69711,34.51649,
SN 2003go,21.83495,-21.85376,
SN 2009D,212.23951,-47.43564,
SN 2010hv,50.36957,-68.45517,
SN 2010gg,39.54498,-56.91377,
SN 2006de,32.35222,-44.5055,
SN 2005dt,50.22362,-68.2755,
SN 2007U,219.45298,-31.66278,
SN 2013as,284.24724,41.74822,
SN 2007sr,286.99441,42.36023,
SN 2009nz,197.39806,-66.73791,0.49
SN 2013gh,35.69201,-50.43023,
SN 1921A,286.9699,42.44616,
SN 1987J,36.80249,-52.19609,
SN 2013dk,286.95864,42.45765,
SN 2004gt,286.94597,42.45676,
SN 1974E,286.9586,42.46205,
SN 2007P,255.87251,27.88841,
SN 2015an,240.61444,10.67485,
SN 2009hh,207.15485,-54.7825,
SN 2005iq,64.84978,-75.21063,
SN 2006eo,215.88146,-38.59329,
SN 2008hu,238.55764,7.75674,
SN 2009lh,254.66372,27.10208,
SN 2009dp,25.74164,-29.12649,
SN 2002el,28.773,-35.66363,
SN 1999E,311.44158,43.89074,
SN 2001hf,246.27951,18.66292,
SN 2013bd,350.13329,28.35323,
SN 2001gf,36.76312,-50.68094,0.13
SN 1992bp,208.83189,-51.09596,
SN 2003gg,26.21756,-29.29504,
SN 2008gg,165.82461,-78.11138,
SN 2001et,25.50053,-27.35,
SN 1953K,344.10632,33.16615,
