name,ra,dec,redshift
SN 2013hx,291.8277,-58.20298,0.135
SN 2011eb,286.67093,-57.1899,
SN 1995W,323.28108,-55.80084,
SN 2012dy,338.2028,-42.13224,
SN 2011ec,330.73215,-51.94223,
SN 2002dm,339.78169,-36.00437,
SN 1997cp,336.90235,-45.46576,0.16
SN 2010ae,268.25548,-19.43387,
SN 1996ap,337.18232,-45.73494,
SN 2000cj,339.69172,-25.14383,
SN 2005cb,339.70445,-25.12824,
SN 1934A,338.52341,-20.02606,
SN 2005bs,341.08625,-33.08085,
SN 1997ej,266.64607,-43.21826,
SN 2014dn,266.63543,-43.22247,
SN 1997D,266.88229,-44.16143,
SN 2013eo,341.34432,-32.6284,
SN 2010co,341.38436,-32.89784,
SN 1990T,341.50291,-31.52566,
SN 2010bh,266.90362,-19.75659,
SN 2010ds,340.74265,-25.56883,
SN 2010iu,306.19465,-60.89769,
SN 1992br,288.01398,-59.42808,
SN 1994ad,287.04652,-59.25873,
SN 2012fz,341.88694,-32.12357,
SN 2013fq,341.88884,-31.52359,
SN 2013fc,275.20412,-54.83177,
SN 2014eg,275.19958,-54.83319,
SN 1982K,342.31549,-33.19678,
SN 2009jz,263.48422,-32.02038,
SN 1985N,338.92229,-47.38257,
SN 1991ag,342.55598,-31.63852,
SN 1982S,305.35829,-61.76215,
SN 1987I,342.76116,-33.33288,
SN 2005dk,342.46985,-28.82342,
SN 2012U,282.26642,-58.83831,
SN 1998bo,342.79805,-31.23176,
SN 2004ew,282.40057,-58.98526,
SN 1991al,342.6159,-29.09667,
SN 1983D,268.64467,-50.41507,
SN 2010el,264.31972,-43.39536,
SN 1984K,343.19639,-32.09322,
SN 2006ci,339.74827,-17.36226,
SN 2011ed,342.44803,-25.21185,
SN 1984O,342.4489,-25.21084,
SN 2005aw,342.96494,-25.06949,
SN 1998em,342.99074,-25.05254,
SN 1996al,325.64805,-59.46102,
SN 2010kw,263.99818,-20.97999,
SN 1998ee,284.09418,-60.82686,
SN 1979D,279.71138,-59.5802,
SN 2000ek,279.70467,-59.59289,
SN 2008gc,279.61075,-59.62977,
SN 2011ce,342.62989,-22.15806,
SN 2004do,342.63014,-22.15256,
SN 1992bk,265.03661,-48.91769,
SN 2015al,343.87386,-26.39571,
SN 2004cw,344.10731,-27.22502,
SN 1997fd,264.99562,-49.21464,
SN 2009ah,295.09958,8.6737,
SN 1996bx,263.41299,-46.74722,
SN 1978L,344.876,-38.43824,
SN 1998ds,267.06823,-52.5542,
SN 1996ao,265.43936,-51.25916,
SN 1998bw,344.99304,-27.71686,
SN 1998ap,345.67422,-31.5347,
SN 1997cu,265.04264,-51.21322,
SN 2011X,311.91794,9.17449,
SN 2009O,264.93163,-51.24827,
SN 2010gt,345.77596,-39.23163,
SN 1998fb,264.63796,-51.04535,
SN 1996as,345.64546,-41.4035,
SN 1991I,259.4621,-33.92012,
SN 2006ms,346.50465,-37.27687,
SN 2014cm,341.61965,-14.93886,
SN 2015aw,278.53967,-61.40917,
SN 2009gg,346.23568,-40.83004,
SN 2007fj,21.83713,-55.36961,
SN 2000fb,259.61956,-29.11403,
SN 2012im,346.51023,-40.29644,
SN 2013ek,346.51035,-40.2964,
SN 2006Y,262.53678,-17.77442,
SN 2014cd,259.65188,-43.58023,
SN 2013fz,259.64613,-43.583,
SN 1992al,347.33689,-38.48983,
SN 1995U,347.22649,-39.85029,
SN 2010jb,298.05835,-65.87317,
SN 2011id,266.61733,-56.24273,
SN 1998X,346.54915,-23.68033,
SN 2005cu,346.55157,-23.68336,
SN 1998dq,346.55201,-23.68126,
SN 2000do,346.55405,-23.68735,
SN 2013L,292.36087,10.91519,
SN 1976O,348.47953,-34.95984,
SN 1992au,319.1126,-65.88266,
SN 2005ae,264.01566,-10.58048,
SN 1998cv,345.5014,-51.78125,
SN 2013gk,345.98803,-18.95686,
SN 2003bx,256.2916,-34.02301,
SN 2015S,311.31938,-67.20855,
SN 1982P,311.32865,-67.21167,
SN 2005af,305.14606,13.24797,
SN 2011ja,305.22338,13.28638,
SN 2010bp,316.16771,11.39141,
SN 2007pl,256.8471,-27.51891,
SN 2002ba,255.62787,-35.70216,
SN 2002bb,255.46895,-35.61994,
SN 2012cj,309.21751,13.50627,
SN 2002bc,255.34449,-35.42329,
SN 1998dr,320.6377,-66.81756,
SN 2011bx,255.29098,-41.0308,
SN 1999co,34.10661,-35.68566,
SN 2010aa,279.45416,-65.7842,
SN 2007st,279.45729,-65.78597,
SN 1994Z,316.15372,-67.7162,
SN 1985M,347.58823,-52.03346,
SN 2009aj,313.95521,12.97537,
SN 2010ls,311.34191,13.67889,
SN 2012bl,351.14969,-34.95797,
SN 2005dn,351.06189,-32.84218,
SN 2012fw,351.16462,-41.28261,
SN 2003ho,351.28303,-42.04627,
SN 2014dc,257.78636,-52.74881,
SN 2012hs,274.24823,4.55154,
SN 2008ge,255.14483,-46.70832,
SN 2014O,276.44862,6.53467,
SN 1992L,259.89496,-12.67189,
SN 1982Z,259.8963,-12.66707,
SN 2007bl,344.8643,-58.60972,
SN 1983L,352.31457,-43.58181,
SN 2010dx,352.31556,-43.58464,
SN 1985P,255.6663,-51.18509,
SN 2008eu,348.98071,-53.79774,
SN 2008dy,322.09757,-68.51641,
SN 2008da,352.24646,-30.99252,
SN 2010iy,348.28505,-17.13301,
SN 2013fy,351.83264,-47.36106,
SN 2009lc,351.96539,-47.27132,
SN 2011kl,299.9167,-70.29246,0.677
